HITId	HITTypeId	Title	Reward	AssignmentId	WorkerId	AssignmentStatus	WorkTimeInSeconds	LifetimeApprovalRate	Input1ID	Input2ID	Input3ID	AnswerID	AnswerLabel	FixPosition	FixValue
1	7QT	Is this triple correct or incorrect?	$0.50	1	2133ICYWE97	Submitted	60	99%	wd:Q11621	wdt:P2142	792910554	1	CORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	2	2133U7HKDLO	Submitted	40	40%	wd:Q11621	wdt:P2142	792910554	1	CORRECT	yes	yes
1	7QT	Is this triple correct or incorrect?	$0.50	3	928UJANWZ12	Submitted	50	98%	wd:Q11621	wdt:P2142	792910554	2	INCORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	4	1726JMZQW	Submitted	80	70%	wd:Q11621	wdt:P2142	792910554	1	CORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	5	2134U7HKDMM	Submitted	2	70%	wd:Q11621	wdt:P2142	792910554	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	6	2134U7HKDMM	Submitted	2	70%	wd:Q603545	wdt:P2142	4300000	2	INCORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	7	2133ICYWE97	Submitted	120	99%	wd:Q603545	wdt:P2142	4300000	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	8	928UJANWZ12	Submitted	60	98%	wd:Q603545	wdt:P2142	4300000	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	9	1726JMZQW	Submitted	90	70%	wd:Q603545	wdt:P2142	4300000	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	10	2133U7HKDLO	Submitted	40	40%	wd:Q603545	wdt:P2142	4300000	1	CORRECT	yes	yes
3	7QT	Is this triple correct or incorrect?	$0.50	11	2133ICYWE97	Submitted	140	99%	wd:Q16911843	wdt:P577	2014-01-18	2	INCORRECT	Object	2014-02-18
3	7QT	Is this triple correct or incorrect?	$0.50	12	928UJANWZ12	Submitted	80	98%	wd:Q16911843	wdt:P577	2014-01-18	1	CORRECT		
3	7QT	Is this triple correct or incorrect?	$0.50	13	2134U7HKDMM	Submitted	2	70%	wd:Q16911843	wdt:P577	2014-01-18	2	INCORRECT		
3	7QT	Is this triple correct or incorrect?	$0.50	14	2133U7HKDLO	Submitted	46	40%	wd:Q16911843	wdt:P577	2014-01-18	1	CORRECT	yes	yes
3	7QT	Is this triple correct or incorrect?	$0.50	15	1726JMZQW	Submitted	300	70%	wd:Q16911843	wdt:P577	2014-01-18	1	CORRECT		
4	7QT	Is this triple correct or incorrect?	$0.50	16	2133ICYWE97	Submitted	120	99%	wd:Q132863	wdt:P2142	969023261	2	INCORRECT	Object	
4	7QT	Is this triple correct or incorrect?	$0.50	17	928UJANWZ12	Submitted	240	98%	wd:Q132863	wdt:P2142	969023261	2	INCORRECT		
4	7QT	Is this triple correct or incorrect?	$0.50	18	2133U7HKDLO	Submitted	40	40%	wd:Q132863	wdt:P2142	969023261	1	CORRECT	yes	yes
4	7QT	Is this triple correct or incorrect?	$0.50	19	1726JMZQW	Submitted	240	70%	wd:Q132863	wdt:P2142	969023261	2	INCORRECT	Object	
4	7QT	Is this triple correct or incorrect?	$0.50	20	2134U7HKDMM	Submitted	2	70%	wd:Q132863	wdt:P2142	969023261	1	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	21	2133ICYWE97	Submitted	120	99%	wd:Q1628022	wdt:P577	1951-01-01	1	CORRECT		
